query,allocation,size,elements,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
Positive length,local,4,8115,0.0408874,0.0398879,0.039714,0.0533828,0.0416935,0.0428487,0.0402367,0.0387199,0.0417325,0.0390645,0.0410938,0.042119,0.0392357,0.0409324,0.0392665,0.0414637,0.0412641,0.0401154,0.0395929,0.0417947,0.0393147,0.0412264,0.039325,0.0383939,0.0412578,0.0392496,0.0416033,0.0416475,0.0401064
Positive length,local,8,16242,0.0699245,0.0748519,0.0690555,0.0739243,0.0688616,0.0716607,0.0730686,0.0687851,0.0873094,0.0727257,0.0711952,0.0716874,0.0729078,0.0704271,0.0758041,0.0703772,0.0745884,0.0697473,0.0742423,0.0703632,0.0741456,0.0700096,0.0702493,0.0751646,0.0701532,0.0741709,0.0702264,0.0747618,0.0710471
Positive length,local,16,31080,0.128147,0.130077,0.125499,0.130973,0.1269,0.131681,0.128663,0.129039,0.131081,0.126461,0.13087,0.126108,0.1308,0.141908,0.126845,0.130864,0.129166,0.125916,0.131326,0.12588,0.129138,0.126231,0.129942,0.127467,0.125912,0.130955,0.125838,0.129235,0.125498
Positive length,local,32,64459,0.266494,0.26122,0.25656,0.256184,0.26,0.258175,0.256825,0.258024,0.256961,0.27053,0.260263,0.258148,0.256639,0.258064,0.260301,0.25915,0.257295,0.258695,0.266909,0.259108,0.263768,0.259038,0.256334,0.257222,0.260521,0.260585,0.257089,0.267487,0.258836
Positive length,local,64,126585,0.496225,0.497708,0.498658,0.499479,0.508152,0.497917,0.498643,0.499149,0.498228,0.51534,0.497335,0.498839,0.497288,0.513453,0.499499,0.505725,0.499445,0.501103,0.510097,0.500996,0.499913,0.500856,0.513011,0.501324,0.499657,0.50195,0.500333,0.510654,0.499376
Positive length,local,128,250213,0.974454,0.966975,0.984982,0.977612,0.992424,0.972358,0.977378,0.985551,0.981173,0.988337,0.97797,0.984309,0.973996,0.964864,0.982131,0.97523,0.988965,0.977934,0.977966,0.991206,0.976554,0.990089,0.978682,0.990738,0.978594,0.977956,0.992253,0.97995,0.990119
Semaphore neighbor,standard,1,1336,0.00818322,0.0205598,0.00975716,0.00916927,0.00626975,0.0120147,0.00900261,0.0092001,0.00919801,0.0106818,0.00694494,0.00702064,0.0072088,0.0122621,0.00680744,0.00736,0.00733538,0.0111535,0.00723409,0.00676536,0.00721813,0.0114783,0.00637233,0.00831309,0.00709393,0.0103024,0.00711497,0.00840546,0.00763524
Semaphore neighbor,standard,2,3473,0.0156934,0.0136998,0.0104905,0.0104093,0.0107466,0.0088744,0.0104754,0.0102415,0.0103073,0.00932876,0.0133725,0.0130959,0.0104148,0.0129642,0.0148535,0.00908898,0.0115841,0.0114059,0.00931947,0.00896419,0.0133794,0.0111073,0.00941013,0.0130531,0.0132955,0.0084175,0.0092116,0.0114835,0.0120474
Semaphore neighbor,standard,4,8115,0.0135855,0.0163107,0.0130905,0.0115674,0.0150086,0.0120949,0.0114466,0.0147528,0.0116034,0.0115456,0.0148563,0.0122626,0.0120563,0.015015,0.0127774,0.0117762,0.0156356,0.0128062,0.0116372,0.0157236,0.0126106,0.0115956,0.0149463,0.0123764,0.0113632,0.0146107,0.0133173,0.0117386,0.0148661
Semaphore neighbor,standard,8,16242,0.0197067,0.0182483,0.0193586,0.0174197,0.0173562,0.0196274,0.0210042,0.0191195,0.0223016,0.0195245,0.023639,0.0188612,0.023805,0.0192193,0.0239538,0.0189264,0.0188645,0.0193665,0.0188357,0.0254961,0.0198461,0.019349,0.0187413,0.021162,0.0184352,0.0189261,0.0223745,0.0171036,0.0164559
